insert_length,reads,sample
0,11884,A
1,16272,A
2,11028,A
3,16491,A
4,15663,A
5,15397,A
6,20804,A
7,20639,A
8,18065,A
9,28811,A
10,30689,A
11,36480,A
12,51970,A
13,54903,A
14,76453,A
15,100498,A
16,153186,A
17,256630,A
18,509049,A
19,2289084,A
21,1698738,A
22,94250,A
23,39414,A
24,21851,A
25,21010,A
26,14043,A
27,11229,A
28,9909,A
29,7674,A
30,9086,A
31,7556,A
32,4282,A
33,4037,A
34,3455,A
35,1744,A
36,1114,A
37,1578,A
39,1945,A
40,764,A
41,1424,A
42,903,A
43,953,A
44,1778,A
45,2127,A
46,1620,A
47,8146,A
48,1078,A
49,1175,A
51,1544,A
53,861,A
55,497,A
57,745,A
59,756,A
60,1046,A
61,960,A
62,1373,A
66,758,A
67,968,A
68,1220,A
69,763,A
70,1705,A
71,769,A
73,1196,A
74,279,A
82,533,A
84,559,A
85,309,A
88,294,A
89,264,A
92,155,A
94,90,A
97,137,A
98,278,A
100,130,A
101,1033,A
102,947,A
103,223,A
104,1912,A
105,388,A
106,161,A
108,134,A
109,141,A
116,50,A
120,1049,A
121,190,A
128,28,A
38,1163,A
50,518,A
52,2120,A
54,429,A
56,244,A
58,490,A
63,1111,A
64,850,A
72,1222,A
75,141,A
76,192,A
77,301,A
83,1075,A
86,207,A
90,277,A
91,176,A
111,58,A
113,68,A
119,89,A
65,483,A
78,183,A
80,197,A
87,173,A
96,135,A
114,103,A
117,69,A
118,47,A
129,17,A
141,2,A
81,315,A
95,68,A
110,78,A
123,33,A
79,185,A
127,19,A
112,62,A
124,36,A
131,11,A
133,24,A
107,134,A
93,120,A
115,63,A
125,23,A
99,80,A
126,30,A
130,14,A
122,68,A
135,4,A
137,7,A
138,21,A
132,12,A
134,6,A
136,4,A
139,3,A
140,1,A
