insert_length,reads,sample
0,9362,B
1,15531,B
2,11477,B
3,11592,B
4,11752,B
5,12215,B
6,13717,B
7,17491,B
8,19051,B
9,22336,B
10,28657,B
11,31400,B
12,38958,B
13,48725,B
14,61683,B
15,81726,B
16,119389,B
17,200961,B
18,419700,B
19,1860655,B
21,1411215,B
22,88543,B
23,39641,B
24,23910,B
25,17645,B
26,13251,B
27,11431,B
28,10062,B
29,7918,B
30,6067,B
31,5658,B
32,3656,B
33,3080,B
34,2425,B
35,1367,B
36,1237,B
37,834,B
38,792,B
39,1396,B
40,532,B
41,976,B
43,243,B
45,924,B
46,340,B
47,473,B
50,294,B
51,1272,B
52,1656,B
53,208,B
55,349,B
59,163,B
60,312,B
63,604,B
65,199,B
66,298,B
68,285,B
70,609,B
71,314,B
72,273,B
74,229,B
82,189,B
85,292,B
86,536,B
87,414,B
88,342,B
90,108,B
95,69,B
98,208,B
100,97,B
101,1007,B
102,903,B
103,220,B
104,2029,B
105,424,B
106,134,B
109,126,B
118,38,B
120,1048,B
121,124,B
42,379,B
48,270,B
49,279,B
54,183,B
58,269,B
62,332,B
64,217,B
67,301,B
69,319,B
73,664,B
77,250,B
89,166,B
92,129,B
97,89,B
108,112,B
116,46,B
126,29,B
44,300,B
56,225,B
61,244,B
76,105,B
78,149,B
79,117,B
80,103,B
81,157,B
83,147,B
93,101,B
107,123,B
57,223,B
111,54,B
114,80,B
115,56,B
119,78,B
124,24,B
75,122,B
99,69,B
112,51,B
122,45,B
123,19,B
91,168,B
84,256,B
96,79,B
133,8,B
117,49,B
110,40,B
131,8,B
128,25,B
94,76,B
127,16,B
113,63,B
130,18,B
134,8,B
136,1,B
125,8,B
129,6,B
135,5,B
132,13,B
138,9,B
139,2,B
141,1,B
137,2,B
140,2,B
