sample,category,reads,percent_total
A,total_reads,107224370,100
A,no_CACCG_prefix,2080960,1.94075283445359
A,valid_20nt_insert,97542387,90.9703521690079
A,invalid_base_20nt_insert,291700,0.272046364086821
A,non20_insert_with_GTTT,5744885,5.35781651130242
A,no_downstream_GTTT,1564438,1.45903212114932
A,exact_reference,85421253,79.6658940500187
A,nonreference_20nt,12121134,11.3044581189892
A,one_mismatch_unique,6251495,5.8302930574458
A,one_mismatch_ambiguous,5988,0.00558455134779528
A,more_than_one_mismatch_or_other,5863651,5.46858051019558
B,total_reads,90677568,100
B,no_CACCG_prefix,1341051,1.47892254895941
B,valid_20nt_insert,83071262,91.6117004814245
B,invalid_base_20nt_insert,239515,0.26413919702831
B,non20_insert_with_GTTT,4712856,5.19737803290004
B,no_downstream_GTTT,1312884,1.44785973968777
B,exact_reference,73608533,81.1761217504201
B,nonreference_20nt,9462729,10.4355787310043
B,one_mismatch_unique,5465331,6.0272139191029
B,one_mismatch_ambiguous,3188,0.00351575375290171
B,more_than_one_mismatch_or_other,3994210,4.40484905814854
