sample,category,reads,percent_total
A,total_reads,107224370,100
A,no_CACCG_prefix,2080960,1.94075283445359
A,valid_20nt_insert,97542387,90.9703521690079
A,invalid_base_20nt_insert,291700,0.272046364086821
A,non20_insert_with_GTTT,5744885,5.35781651130242
A,no_downstream_GTTT,1564438,1.45903212114932
A,exact_reference,85421253,79.6658940500187
A,nonreference_20nt,12121134,11.3044581189892
A,one_mismatch_unique,6251495,5.8302930574458
A,one_mismatch_ambiguous,5988,0.00558455134779528
A,more_than_one_mismatch_or_other,5863651,5.46858051019558
