CACCG_start_position,reads,sample
1,491,B
2,513,B
3,2919,B
4,1372,B
5,1382,B
6,1300,B
7,2607,B
8,3743,B
9,4040,B
10,4817,B
11,6923,B
12,8637,B
13,12198,B
14,16240,B
15,25161,B
16,64662,B
17,394086,B
18,11699175,B
19,12234422,B
20,12217686,B
21,11831463,B
22,12103811,B
23,901846,B
24,9633403,B
25,10297145,B
26,7089278,B
27,40543,B
28,1609,B
29,1502,B
30,1230,B
31,1431,B
32,1413,B
33,1458,B
34,1383,B
35,1416,B
36,1358,B
37,1433,B
38,1347,B
39,1713,B
40,1662,B
41,1407,B
42,1383,B
43,1251,B
44,896,B
45,894,B
46,888,B
48,542,B
49,546,B
50,582,B
51,566,B
52,512,B
53,748,B
54,648,B
56,684,B
57,913,B
58,624,B
59,848,B
60,878,B
61,974,B
62,832,B
64,933,B
66,781,B
67,3112,B
68,2033,B
69,2191,B
71,799,B
72,694,B
73,665,B
75,671,B
77,649,B
78,617,B
79,624,B
80,640,B
81,682,B
84,536,B
85,669,B
86,571,B
87,598,B
88,647,B
89,786,B
90,587,B
91,581,B
93,584,B
94,667,B
95,669,B
96,667,B
97,629,B
98,583,B
99,727,B
101,666,B
102,719,B
104,725,B
105,694,B
106,812,B
107,933,B
108,1041,B
109,1138,B
110,1247,B
111,1519,B
112,1932,B
113,3466,B
114,12317,B
115,63765,B
116,86940,B
117,85739,B
118,86770,B
119,91267,B
120,25905,B
121,68051,B
122,72548,B
123,43718,B
124,2674,B
125,828,B
126,859,B
127,742,B
128,830,B
130,637,B
131,616,B
133,631,B
135,592,B
136,590,B
137,527,B
138,565,B
139,579,B
142,555,B
143,482,B
145,612,B
146,587,B
47,762,B
55,713,B
63,726,B
65,806,B
70,737,B
74,684,B
76,604,B
83,599,B
92,668,B
100,652,B
103,686,B
129,566,B
134,525,B
140,511,B
141,535,B
144,560,B
82,729,B
132,610,B
