sample,gene_symbol,gene_id,exact_count,guides,cpm
A,GATA3,2625,5003,3,59.1476519517129
A,ANKH,56172,5247,3,62.0323265621902
A,SMARCAD1,56916,3457,3,40.8701644607379
A,JAG1,182,3224,3,38.1155366564706
A,MAP1LC3C,440738,6364,3,75.2379886109736
A,CCNI,10983,3669,3,43.3765210895132
A,TRAM1L1,133022,4895,3,57.8708287634689
A,POU6F1,5463,3909,3,46.2139059522778
A,OR4F4,26682,4850,3,57.3388191017005
A,CPA2,1358,5034,3,59.5141474964867
A,ANLN,54443,4646,3,54.9270419683506
A,GEMIN6,79833,4864,3,57.5043332186951
A,AASDHPPT,60496,5503,3,65.0588704158058
A,OR7E24,26648,4218,3,49.8670389630872
A,SP8,221833,4479,3,52.9526950013436
A,BCL11B,64919,4094,3,48.4010567839921
A,HIST1H2BF,8343,5804,3,68.6174239311896
A,C22orf42,150297,6447,3,76.219250876013
A,OR11H2,79334,4326,3,51.1438621513312
A,CXCL11,6373,5835,3,68.9839194759634
A,ETV4,2118,2638,3,31.1875886165538
A,ZC3H13,23091,5632,3,66.5839647795417
A,RNF133,168433,4836,3,57.1733049847059
A,PRAMEF20,645425,4431,3,52.3852180287907
A,XAGE5,170627,3918,3,46.3203078846315
A,MYO3B,140469,4806,3,56.8186318768603
A,ZEB2,9839,3149,3,37.2288538868567
A,GABRR3,200959,7015,3,82.9343950512225
A,OR13H1,347468,5568,3,65.8273288161378
A,TMPRSS11B,132724,4703,3,55.6009208732572
A,WFDC11,259239,4298,3,50.812833917342
A,HLA-DMB,3109,5590,3,66.0874224285579
A,ZC3H4,23211,3643,3,43.0691377293804
A,CYLC1,1538,6233,3,73.6892493733813
A,E2F6,1876,5672,3,67.0568622566691
A,SERPINB12,89777,4071,3,48.1291407346439
A,BICRAL,23506,7457,3,88.1599121734806
A,HDAC8,55869,4819,3,56.9723235569268
A,CSH2,1443,5485,3,64.8460665510984
A,NMNAT1,64802,2628,3,31.0693642472719
A,GABRG2,2566,4072,3,48.1409631715721
A,TAS2R19,259294,7471,3,88.3254262904752
A,TNFRSF10C,8794,5345,3,63.1909253811524
A,CLEC4A,50856,6754,3,79.848739012966
A,OR5K1,26339,6292,3,74.3867731521443
A,EXPH5,23086,3321,3,39.2623130385046
A,PIK3C2A,5286,6008,3,71.0292010645395
A,DPF3,8110,5529,3,65.3662537759386
A,TNFSF18,8995,6019,3,71.1592478707496
A,NR2F1,7025,6541,3,77.3305599472625
A,ZNF37A,7587,4098,3,48.4483465317049
A,IDO2,169355,4228,3,49.985263332369
A,ANKFN1,162282,2519,3,29.7807186220997
A,KLKB1,3818,6573,3,77.7088779289644
A,MRLN,100507027,7808,3,92.3095875352737
A,IL18RAP,8807,4805,3,56.8068094399322
A,SPATA31D1,389763,3765,3,44.5114750346191
A,OR4E2,26686,7606,3,89.9214552757802
A,OR2AK2,391191,4281,3,50.6118524895629
A,MOAP1,64112,5283,3,62.4579342916049
A,CRIP3,401262,3847,3,45.4809148627303
A,DAZL,1618,7196,3,85.0742561352241
A,RXFP2,122042,4342,3,51.3330211421822
A,C2,717,5628,3,66.536675031829
A,OR5D13,390142,6122,3,72.3769588743527
A,OVOS2,144203,3361,3,39.735210515632
A,SLC25A45,283130,4484,3,53.0118071859846
A,HDAC9,9734,10131,3,119.773108519449
A,FAM86B2,653333,5662,3,66.9386378873873
A,PAPD4,167153,2913,3,34.4387587718049
A,DIEXF,27042,5039,3,59.5732596811276
A,PIWIL3,440822,6652,3,78.6428504462911
A,HIGD1A,25994,4642,3,54.8797522206379
A,JKAMP,51528,3575,3,42.2652120182638
A,SYDE1,85360,4893,3,57.8471838896125
A,GSTCD,79807,6353,3,75.1079418047636
A,MAJIN,283129,3656,3,43.2228294094468
A,MLF1,4291,3084,3,36.4603954865246
A,GLIPR1L2,144321,5735,3,67.8016757831448
A,RFPL2,10739,3211,3,37.9618449764042
A,SPATA13,221178,5068,3,59.916110352045
A,LOC646588,646588,3848,3,45.4927372996585
A,C3AR1,719,6718,3,79.4231312835513
A,CTAGE8,100142659,4648,3,54.950686842207
A,GCNT3,9245,7650,3,90.4416425006204
A,SP9,100131390,5077,3,60.0225122843987
A,RTCB,51493,3540,3,41.8514267257773
A,MMP20,9313,8482,3,100.277910024871
A,SYT16,83851,3470,3,41.0238561408043
A,POTEB3,102724631,3893,3,46.0247469614268
A,SLCO1C1,53919,9050,3,106.99305420008
A,NKX3-2,579,6337,3,74.9187828139126
A,OR2G6,391211,3692,3,43.6484371388615
A,ICE1,23379,4870,3,57.5752678402642
A,BTN3A3,10384,2970,3,35.1126376767114
A,PRMT6,55170,4504,3,53.2482559245483
A,RIPK2,8767,8075,3,95.4661781950993
A,OCLM,10896,4856,3,57.4097537232696
A,LCP2,3937,3775,3,44.6296994039009
A,PLP1,5354,7725,3,91.3283252702343
A,OR8I2,120586,3695,3,43.6839044496461
A,ZNF404,342908,6862,3,81.1255622012101
A,THRB,7068,2696,3,31.8732899583886
A,ELMOD3,84173,3872,3,45.7764757859349
A,OR13G1,441933,5895,3,69.6932656916545
A,TMX3,54495,5670,3,67.0332173828128
A,PFDN1,5201,4480,3,52.9645174382718
A,CTSC,1075,4538,3,53.6502187801066
A,OR13C9,286362,4751,3,56.1683978458101
A,OR13C5,138799,4192,3,49.5596556029543
A,UTP11,51118,5277,3,62.3869996700358
A,FPR3,2359,4510,3,53.3191905461174
A,WDR24,84219,5094,3,60.2234937121778
A,OR6C68,403284,7223,3,85.3934619322851
A,OR6C2,341416,2662,3,31.4713271028303
A,OR5M11,219487,5968,3,70.5563035874121
A,MBNL3,55796,4911,3,58.0599877543198
A,FAM83E,54854,5548,3,65.5908800775741
A,PCDHGC3,5098,6330,3,74.8360257554153
A,OR10AG1,282770,4466,3,52.7990033212772
A,EYA3,2140,6956,3,82.2368712724595
A,TBC1D15,64786,6589,3,77.8980369198154
A,KLHL4,56062,2698,3,31.8969348322449
A,MTERF1,7978,3874,3,45.8001206597913
A,CREB3L4,148327,4401,3,52.0305449209451
A,PIN4,5303,5037,3,59.5496148072712
A,ATF7IP,55729,6178,3,73.0390153423311
A,ALDOB,229,3695,3,43.6839044496461
A,OLFML3,56944,5566,3,65.8036839422814
A,SMNDC1,10285,5714,3,67.5534046076529
A,ZNF654,55279,6713,3,79.3640190989104
A,CASP4,837,6472,3,76.5148117992177
A,OAZ2,4947,2848,3,33.6703003714728
A,GPR150,285601,8925,3,105.515249584057
A,CDV3,55573,4115,3,48.649327959484
A,VPS16,64601,5586,3,66.0401326808452
A,OR2L3,391192,4765,3,56.3339119628047
A,SEMA4A,64218,9920,3,117.278574327602
A,MYH15,22989,4528,3,53.5319944108247
A,SHC4,399694,5408,3,63.9357389076281
A,GRIK2,2898,3737,3,44.1804468006299
A,WBSCR28,135886,6062,3,71.6676126586615
A,ACOT4,122970,2629,3,31.0811866842001
A,MYO1A,4640,6782,3,80.1797672469552
A,CFLAR,8837,3640,3,43.0336704185958
A,FAM102B,284611,5400,3,63.8411594122026
A,OR2L8,391190,5528,3,65.3544313390104
A,ATF6,22926,4847,3,57.303351790916
A,OR6C75,390323,4239,3,50.1153101385791
A,PAPPA2,60676,5499,3,65.011580668093
A,VWA2,340706,5254,3,62.1150836206875
A,TAS2R31,259290,2602,3,30.7619808871391
A,SOX2,6657,4990,3,58.9939602716465
A,NTS,4922,3161,3,37.3707231299949
A,RBMS2,5939,4983,3,58.9112032131492
A,ZMYND8,23613,5084,3,60.105269342896
A,CAPN6,827,5361,3,63.3800843720034
A,UCN3,114131,5210,3,61.5948963958473
A,CTPS2,56474,5219,3,61.701298328201
A,KRTAP21-3,100288323,5906,3,69.8233124978646
A,PMCH,5367,3410,3,40.3145099251131
A,OR6C74,254783,4197,3,49.6187677875953
A,SEL1L2,80343,3683,3,43.5420352065078
A,TMEM191C,645426,4917,3,58.1309223758889
A,NXPE2,120406,5054,3,59.7505962350504
A,PIH1D3,139212,3287,3,38.8603501829463
A,JADE2,23338,3918,3,46.3203078846315
A,MUC22,100507679,3371,3,39.8534348849139
A,CDKAL1,54901,9301,3,109.960485869055
A,OR6C76,390326,3577,3,42.2888568921201
A,OR6C6,283365,5689,3,67.2578436844483
A,MACC1,346389,6405,3,75.7227085250292
A,MTSS1,9788,2444,3,28.8940358524858
A,DDX3Y,8653,2491,3,29.4496903881105
A,GRXCR2,643226,5683,3,67.1869090628792
A,TIMM23,100287932,3722,3,44.0031102467071
A,OR13C3,138803,5866,3,69.3504150207372
A,ZNF775,285971,5909,3,69.8587798086491
A,WIPF1,7456,2838,3,33.5520760021909
A,VSIG1,340547,8417,3,99.5094516245388
A,IKBKB,3551,3948,3,46.674980992477
A,PHEX,5251,5113,3,60.4481200138133
A,SNX17,9784,8311,3,98.2562733101511
A,CTDNEP1,23399,3371,3,39.8534348849139
A,MED4,29079,7105,3,83.9984143747592
A,ZNF311,282890,7523,3,88.9401930107408
A,FAM133A,286499,5505,3,65.0825152896621
A,PCDHA13,56136,3550,3,41.9696510950591
A,TNFRSF1A,7132,5055,3,59.7624186719786
A,DPH3P1,100132911,3187,2,37.6781064901277
A,CXorf21,80231,4133,3,48.8621318241914
A,MOV10L1,54456,6066,3,71.7149024063743
A,MREG,55686,4474,3,52.8935828167027
A,OR4S2,219431,4189,3,49.5241882921698
A,SLFN12,55106,7146,3,84.4831342888148
A,KRTAP9-7,100505724,4660,3,55.0925560853452
A,OR6K6,128371,3952,3,46.7222707401898
A,SULT1C4,27233,6934,3,81.9767776600395
A,KDM5A,5927,4847,3,57.303351790916
A,ACOT6,641372,3061,3,36.1884794371763
A,OR5T1,390155,5525,3,65.3189640282258
A,PMP22,5376,3298,3,38.9903969891564
A,C14orf93,60686,2341,3,27.6763248488827
A,SELE,6401,3472,3,41.0475010146607
A,GOLPH3,64083,3382,3,39.9834816911239
A,SMC4,10051,3082,3,36.4367506126682
A,C2orf15,150590,3187,3,37.6781064901277
A,PCDHA11,56138,6435,3,76.0773816328748
A,PTGES3L,100885848,6038,3,71.3838741723851
A,DPH3,285381,5971,3,70.5917708981967
A,MTMR6,9107,3761,3,44.4641852869063
A,PRG4,10216,6733,3,79.6004678374741
A,FREM1,158326,4907,3,58.0126980066071
A,TYSND1,219743,5154,3,60.932839927869
A,AGTR2,186,4601,3,54.3950323065823
A,ZNF593,51042,4271,3,50.493628120281
A,LURAP1L,286343,4891,3,57.8235390157561
A,FAM72B,653820,4937,3,58.3673711144527
A,UNC5C,8633,7112,3,84.0811714332565
A,LRTOMT,220074,5130,3,60.6491014415925
A,OCM,654231,5751,3,67.9908347739958
A,OR2D3,120775,2875,3,33.9895061685338
A,SPRR2G,6706,1997,3,23.6094065455868
A,OR2T12,127064,6044,3,71.4548087939542
A,TCN1,6947,5886,3,69.5868637593009
A,CYP21A2,1589,4672,3,55.2344253284835
A,KLK12,43849,7505,3,88.7273891460335
A,KRTAP9-2,83899,4803,3,56.7831645660758
A,NRIP3,56675,3964,3,46.864139983328
A,GKN2,200504,4735,3,55.9792388549592
A,PRTFDC1,56952,5493,3,64.9406460465239
A,BTN2A1,11120,9618,3,113.70819837529
A,DDX28,55794,4757,3,56.2393324673792
A,GTF3C3,9330,6077,3,71.8449492125843
A,SULT1E1,6783,4398,3,51.9950776101606
A,ZRSR2,8233,4968,3,58.7338666592264
A,EBLN2,55096,5032,3,59.4905026226303
A,ALG8,79053,3871,3,45.7646533490067
A,RASGRP3,25780,3845,3,45.4572699888739
A,C15orf65,145788,3292,3,38.9194623675872
A,HGD,3081,2874,3,33.9776837316056
A,MAN1C1,57134,5617,3,66.4066282256189
A,INTS7,25896,2751,3,32.5235239894388
A,SAMD5,389432,3760,3,44.4523628499781
A,LRRIQ3,127255,8797,3,104.001977657249
A,LYZL4,131375,5429,3,64.18401008312
A,OR10A3,26496,5191,3,61.3702700942118
A,KLHL40,131377,5809,3,68.6765361158306
A,CCDC58,131076,3952,3,46.7222707401898
A,SDF2,6388,6777,3,80.1206550623143
A,ZBTB4,57659,2443,3,28.8822134155576
A,FGF2,2247,2406,3,28.4447832492147
A,CREBRF,153222,4627,3,54.7024156667151
A,KATNA1,11104,4862,3,57.4806883448387
A,FASTKD1,79675,4252,3,50.2690018186455
A,ZNF785,146540,4129,3,48.8148420764786
A,SMAP2,64744,4514,3,53.3664802938301
A,TLE1,7088,3196,3,37.7845084224814
A,SMAD4,4089,3825,3,45.2208212503102
A,RSPH6A,81492,4318,3,51.0492826559057
A,OR5D14,219436,5603,3,66.2411141086243
A,SMIM18,100507341,4890,3,57.8117165788279
A,C2orf16,84226,6169,3,72.9326134099774
A,CREB5,9586,5123,3,60.5663443830952
A,ZNF544,27300,5878,3,69.4922842638754
A,PCDHB16,57717,5235,3,61.890457319052
A,DR1,1810,5739,3,67.8489655308576
A,NIPAL3,57185,5399,3,63.8293369752745
A,DYTN,391475,3449,3,40.7755849653124
A,CATIP,375307,3682,3,43.5302127695796
A,NAT14,57106,3772,3,44.5942320931164
A,PPP3R2,5535,3526,3,41.6859126087827
A,TRAPPC2,6399,2095,3,24.768005364549
A,INPP1,3628,2609,3,30.8447379456364
A,HSD17B11,51170,3332,3,39.3923598447147
A,MED6,10001,4216,3,49.8433940892308
A,RFX1,5989,4275,3,50.5409178679938
A,ZNF415,55786,7346,3,86.847621674452
A,TMEM99,147184,3466,3,40.9765663930915
A,ATF1,466,4256,3,50.3162915663582
A,PLXNC1,10154,4135,3,48.8857766980478
A,RSBN1L,222194,3794,3,44.8543257055364
A,CWC25,54883,1570,3,18.5612259772515
A,LAX1,54900,5798,3,68.5464893096205
A,FLI1,2313,6820,3,80.6290198502263
A,C9orf43,257169,5374,3,63.5337760520698
A,ZNF772,400720,3981,3,47.0651214111072
A,CD5L,922,4785,3,56.5703607013684
A,KIF6,221458,4626,3,54.6905932297869
A,PCOLCE2,26577,4740,3,56.0383510396001
A,TRIM54,57159,5393,3,63.7584023537053
A,KDM5D,8284,6629,3,78.3709343969428
A,FMO2,2327,5032,3,59.4905026226303
A,TCAF2,285966,6069,3,71.7503697171588
A,RAB7B,338382,6046,3,71.4784536678106
A,RFLNB,359845,3602,3,42.5844178153248
A,HK2,3099,2337,3,27.6290351011699
A,PUS7L,83448,6081,3,71.8922389602971
A,HCFC2,29915,3014,3,35.6328249015516
A,SPX,80763,4583,3,54.1822284418749
A,GLRX,2745,3603,3,42.596240252253
A,ARL6,84100,4854,3,57.3861088494132
A,MYLK4,340156,4523,3,53.4728822261838
A,HABP2,3026,4729,3,55.90830423339
A,CUTC,51076,3343,3,39.5224066509247
A,CCDC81,60494,3650,3,43.1518947878777
A,PLA2G2C,391013,6753,3,79.8369165760378
A,MIXL1,83881,4985,3,58.9348480870056
A,ETV2,2116,5241,3,61.9613919406211
A,DZIP3,9666,3657,3,43.234651846375
A,BRDT,676,5390,3,63.7229350429208
A,ST13,6767,7072,3,83.6082739561291
A,FAM227B,196951,5111,3,60.424475139957
A,POC5,134359,5767,3,68.1799937648468
A,ADAM12,8038,3754,3,44.381428228409
A,SHC1,6464,5457,3,64.5150383171092
A,GNPDA2,132789,1986,3,23.4793597393767
A,OGN,4969,4399,3,52.0069000470888
A,ASB14,142686,3765,3,44.5114750346191
A,LLGL1,3996,3804,3,44.9725500748183
A,SRGAP3,9901,5859,3,69.2676579622398
A,F2RL2,2151,5547,3,65.5790576406459
A,TRAM2,9697,4649,3,54.9625092791352
A,MED10,84246,4376,3,51.7349839977405
