sample,gene_symbol,gene_id,exact_count,guides,cpm
B,SMARCAD1,56916,2149,3,29.4120078402093
B,LOC100129112,100129112,1608,2,22.0076819949077
B,MAP1LC3C,440738,4131,3,56.538391990649
B,LRRC70,100130733,4869,3,66.6389326077149
B,LRRC19,64922,2284,3,31.2596677091848
B,HMGA1,3159,4125,3,56.4562737742501
B,BCL11B,64919,3064,3,41.935035841043
B,IGF1R,3480,2499,3,34.2022371301457
B,HAO1,54363,5618,3,76.8900232881787
B,JAG1,182,3567,3,48.8192796491516
B,TMPRSS11D,9407,3296,3,45.1102735418008
B,HRC,3270,4479,3,61.3012485417858
B,GRID2,2895,3415,3,46.7389515003792
B,KMO,8564,4194,3,57.4006332628376
B,CCL13,6357,2762,3,37.8017522822979
B,LOC100129216,100129216,3550,3,48.5866113693547
B,DEFB131,644414,4385,3,60.0147298182029
B,C8orf89,100130301,3410,3,46.6705196533801
B,WIPF1,7456,2186,3,29.9184035080026
B,SUN3,256979,7156,3,97.9396594250991
B,TRAPPC3L,100128327,3817,3,52.2408719991061
B,C5,727,3185,3,43.591086538421
B,INTS7,25896,4373,3,59.850493385405
B,PSMB5,5693,2932,3,40.128435080267
B,JKAMP,51528,2751,3,37.6512022188999
B,RNF122,79845,3257,3,44.5765051352079
B,BTN3A1,11119,4146,3,56.7436875316463
B,CLEC2B,9976,3032,3,41.4970720202488
B,OR13C9,286362,4762,3,65.1744910819343
B,OR13C5,138799,3668,3,50.2016029585332
B,PMEL,6490,2244,3,30.7122129331921
B,OR10AG1,282770,7559,3,103.455266293226
B,CELSR3,1951,5032,3,68.8698108198853
B,ZMIZ1,57178,3847,3,52.6514630811007
B,ANKRD49,54851,3458,3,47.3274653845714
B,UGT1A1,54658,3639,3,49.8046982459385
B,ASIP,434,3524,3,48.2307657649594
B,ACOT4,122970,1418,3,19.4072718089422
B,CCDC80,151887,4559,3,62.3961580937712
B,PLP1,5354,3012,3,41.2233446322525
B,BDKRB1,623,6000,3,82.1182163989093
B,H3F3A,3020,3584,3,49.0519479289485
B,OR2Y1,134083,4434,3,60.685361918794
B,NCAM1,4684,2991,3,40.9359308748563
B,PHOX2B,8929,2076,3,28.4129028740226
B,GRIA4,2893,2962,3,40.5390261622615
B,UBAP1L,390595,3859,3,52.8156995138985
