gene_symbol,gene_id,cpm_A,count_A,cpm_B,count_B
A1BG,1,55.3171823869808,4679,46.6294605451807,3407
A1CF,29974,29.8280083698125,2523,60.2884572061992,4405
A2M,2,111.982122583775,9472,85.3892586854658,6239
A2ML1,144568,63.2382151288652,5349,65.6261412721283,4795
A3GALT2,127550,67.683451413863,5725,57.4553787404369,4198
A4GALT,53947,19.6843574854291,1665,24.4438557480753,1786
A4GNT,51146,54.4186771804387,4603,48.3265703507581,3531
AAAS,8086,98.3981425532893,8323,58.3860518596245,4266
AACS,65985,34.2614222178821,2898,17.7785938503639,1299
AADAC,13,64.5859729386783,5463,38.4860707522888,2812
AADACL2,344752,99.5330964983952,8419,82.2413937235077,6009
AADACL3,126767,55.3053599500526,4678,64.8733909551383,4740
AADACL4,343066,61.1692886664327,5174,64.5449180895427,4716
AADAT,51166,37.2761436345694,3153,22.9383551140953,1676
AAED1,195827,43.5656800803642,3685,24.3069920540771,1776
AAGAB,79719,45.2917558718793,3831,53.5821362002883,3915
AAK1,22848,43.7311941973588,3699,48.5455522611552,3547
AAMDC,28971,45.8355879705758,3877,39.7862758452716,2907
AAMP,14,88.0180429303423,7445,36.1593879543197,2642
AANAT,15,73.7720064318786,6240,65.954614137724,4819
AAR2,25980,77.7325228028208,6575,50.3110939137318,3676
AARD,441376,62.7889625255941,5311,75.7266818891942,5533
AARS,16,73.6892493733813,6233,47.0811107353747,3440
AARS2,57505,43.1873620986623,3653,34.407532671143,2514
AARSD1,80755,65.3662537759386,5529,51.0912169695214,3733
AASDH,132949,70.2489202272793,5942,43.6595183854201,3190
AASDHPPT,60496,65.0588704158058,5503,30.3563673287968,2218
AASS,10157,66.7021891488236,5642,38.2534024724919,2795
AATF,26574,36.8978256528675,3121,41.5107583896486,3033
AATK,9625,40.5746035375332,3432,56.6205102070479,4137
ABAT,18,9.83626752425048,832,20.9401451817219,1530
ABCA1,19,33.49296381755,2833,73.0988989644291,5341
ABCA10,10349,69.3267701468808,5864,63.0804765637621,4609
ABCA12,26154,60.554521946167,5122,83.4868533388911,6100
ABCA13,154664,52.9999847490564,4483,68.4044742602914,4998
ABCA2,20,19.7198247962137,1668,29.6994215976055,2170
