gene_symbol	passing_guides	total_guides
A1BG	3	3
A1CF	3	3
A2M	3	3
A2ML1	3	3
A3GALT2	3	3
A4GALT	2	3
AAAS	3	3
AACS	1	3
AADAC	3	3
AADACL2	3	3
AADACL3	3	3
AADACL4	3	3
AADAT	2	3
AAED1	2	3
AAGAB	3	3
AAK1	2	3
AAMDC	2	3
AAMP	3	3
AANAT	3	3
AAR2	2	3
AARD	3	3
AARS	3	3
AARS2	2	3
AARSD1	3	3
AASDH	3	3
AASDHPPT	2	3
AASS	3	3
AATF	2	3
AATK	3	3
ABAT	1	3
ABCA1	3	3
ABCA10	3	3
ABCA12	3	3
ABCA13	3	3
ABCA2	2	3
ABCA3	2	3
ABCA4	3	3
ABCA5	3	3
ABCA6	3	3
ABCA7	2	3
ABCA8	3	3
ABCA9	3	3
ABCB1	3	3
ABCB10	3	3
ABCB11	3	3
ABCB4	3	3
ABCB5	3	3
ABCB6	3	3
ABCB7	3	3
ABCB8	3	3
ABCB9	2	3
ABCC1	2	3
ABCC10	3	3
ABCC11	3	3
ABCC12	3	3
ABCC2	3	3
ABCC3	3	3
ABCC4	3	3
ABCC5	3	3
ABCC6	3	3
ABCC8	3	3
ABCC9	1	3
ABCD1	2	3
ABCD2	3	3
ABCD3	1	3
ABCD4	2	3
ABCE1	3	3
ABCF1	3	3
ABCF2	3	3
ABCF3	3	3
ABCG1	3	3
ABCG2	3	3
ABCG4	3	3
ABCG5	3	3
ABCG8	1	3
ABHD1	3	3
ABHD10	3	3
ABHD11	3	3
ABHD12	2	3
ABHD12B	3	3
ABHD13	3	3
ABHD14A	2	3
ABHD14B	3	3
ABHD15	2	3
ABHD16A	3	3
ABHD16B	3	3
ABHD17A	3	3
ABHD17B	3	3
ABHD17C	3	3
ABHD2	3	3
ABHD3	3	3
ABHD4	3	3
ABHD5	3	3
ABHD6	3	3
ABHD8	3	3
ABI1	3	3
ABI2	2	3
ABI3	3	3
ABI3BP	3	3
ABL1	2	3
ABL2	3	3
ABLIM1	2	3
ABLIM2	3	3
ABLIM3	3	3
ABO	2	3
ABR	3	3
ABRA	3	3
ABRACL	3	3
ABT1	3	3
ABTB1	2	3
ABTB2	1	3
ACAA1	2	3
ACAA2	3	3
ACACA	3	3
ACACB	3	3
ACAD10	3	3
ACAD11	3	3
ACAD8	1	3
ACAD9	3	3
ACADL	3	3
ACADM	3	3
ACADS	3	3
ACADSB	2	3
ACADVL	2	3
ACAN	3	3
ACAP1	3	3
ACAP2	3	3
ACAP3	1	3
ACAT1	3	3
ACAT2	3	3
ACBD3	3	3
ACBD4	1	3
ACBD5	2	3
ACBD6	2	3
ACBD7	2	3
ACCS	3	3
ACCSL	3	3
ACD	3	3
ACE	3	3
ACE2	3	3
ACER1	3	3
ACER2	3	3
ACER3	2	3
ACHE	2	3
ACIN1	3	3
ACKR1	3	3
ACKR2	3	3
ACKR3	2	3
ACKR4	3	3
ACLY	1	3
ACMSD	3	3
ACO1	3	3
ACO2	1	3
ACOD1	2	3
ACOT1	3	3
ACOT11	3	3
ACOT12	3	3
ACOT13	3	3
ACOT2	3	3
ACOT4	2	3
ACOT6	3	3
ACOT7	2	3
ACOT8	2	3
ACOT9	2	3
ACOX1	3	3
ACOX2	3	3
ACOX3	3	3
ACOXL	3	3
ACP1	3	3
ACP2	3	3
ACP5	3	3
ACP6	3	3
ACPP	2	3
ACPT	3	3
ACR	3	3
ACRBP	3	3
ACRV1	3	3
ACSBG1	3	3
ACSBG2	3	3
ACSF2	2	3
ACSF3	3	3
ACSL1	2	3
ACSL3	2	3
ACSL4	1	3
ACSL5	3	3
ACSL6	3	3
ACSM1	3	3
ACSM2A	3	3
ACSM2B	3	3
ACSM3	2	3
ACSM4	2	3
ACSM5	3	3
ACSM6	3	3
ACSS1	3	3
ACSS2	2	3
ACSS3	2	3
ACTA1	3	3
ACTA2	3	3
ACTB	2	3
ACTBL2	2	3
ACTC1	3	3
ACTG1	2	3
ACTG2	3	3
ACTL10	2	3
ACTL6A	3	3
ACTL6B	3	3
ACTL7A	2	3
ACTL7B	3	3
ACTL8	3	3
ACTL9	3	3
ACTN1	3	3
ACTN2	1	3
ACTN3	3	3
ACTN4	3	3
ACTR10	2	3
ACTR1A	3	3
ACTR1B	3	3
ACTR2	3	3
ACTR3	2	3
ACTR3B	0	3
ACTR3C	3	3
ACTR5	3	3
ACTR6	3	3
ACTR8	3	3
ACTRT1	3	3
ACTRT2	3	3
ACTRT3	2	3
ACVR1	1	3
ACVR1B	3	3
ACVR1C	1	3
ACVR2A	3	3
ACVR2B	3	3
ACVRL1	3	3
ACY1	3	3
ACY3	0	3
ACYP1	2	3
ACYP2	3	3
ADA	1	3
ADA2	3	3
ADAD1	3	3
ADAD2	2	3
ADAL	3	3
ADAM10	3	3
ADAM11	2	3
ADAM12	2	3
ADAM15	3	3
ADAM17	3	3
ADAM18	3	3
ADAM19	2	3
ADAM2	3	3
ADAM20	3	3
